Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 13531,  -3765, 6207, 14523,  0, 0, 0
1, 13667,  -3830, 6186, 14537,  0, 0, 0
2, 13802,  -3799, 6149, 14383,  0, 0, 0
3, 13937,  -3835, 6138, 14320,  0, 0, 0
4, 14073,  -3899, 6212, 14283,  0, 0, 0
5, 14208,  -3962, 6244, 14393,  -29, -34, -13
6, 14344,  -4011, 6226, 14500,  -28, -34, -12
7, 14479,  -4028, 6140, 14621,  -31, -45, -10
8, 14614,  -4078, 6160, 14684,  -23, -53, -8
9, 14750,  -4041, 6161, 14694,  -12, -56, 2
10, 14885,  -3961, 6150, 14619,  -5, -47, 10
11, 15021,  -3909, 6175, 14546,  -5, -34, 22
12, 15156,  -3859, 6223, 14553,  -5, -30, 34
13, 15292,  -3801, 6228, 14561,  -3, -25, 42
14, 15427,  -3720, 6251, 14569,  -4, -20, 44
15, 15563,  -3710, 6258, 14547,  -2, -15, 42
16, 15698,  -3713, 6215, 14464,  0, -13, 38
17, 15834,  -3708, 6157, 14489,  1, -14, 41
18, 15969,  -3699, 6150, 14496,  -1, -13, 43
19, 16105,  -3681, 6168, 14434,  -1, -9, 42
20, 16240,  -3634, 6206, 14412,  -5, -4, 42
21, 16376,  -3653, 6276, 14362,  -14, -4, 45
22, 16511,  -3552, 6286, 14405,  -24, -4, 44
23, 16647,  -3636, 6082, 14488,  -36, -4, 38
24, 16782,  -3686, 5971, 14600,  -32, -18, 34
25, 16917,  -3515, 5984, 14567,  -20, -28, 26
26, 17053,  -3426, 6108, 14529,  -13, -15, 22
27, 17188,  -3445, 6161, 14510,  -16, -4, 21
28, 17324,  -3522, 6157, 14599,  -15, 2, 24
29, 17459,  -3620, 6164, 14648,  -12, -6, 18
30, 17595,  -3676, 6142, 14623,  -3, -8, 6
31, 17730,  -3686, 6163, 14589,  3, -5, -3
32, 17866,  -3732, 6180, 14533,  6, 0, 1
33, 18001,  -3818, 6182, 14563,  4, 0, 9
34, 18137,  -3850, 6194, 14583,  -1, -4, 18
35, 18272,  -3854, 6241, 14612,  -8, -9, 24
36, 18408,  -3837, 6241, 14663,  -12, -17, 25
37, 18543,  -3810, 6186, 14655,  -11, -28, 28
38, 18679,  -3779, 6147, 14601,  -3, -37, 31
39, 18814,  -3725, 6101, 14493,  4, -36, 32
40, 18950,  -3634, 6079, 14354,  -2, -35, 28
41, 19085,  -3600, 6072, 14360,  -11, -41, 26
42, 19221,  -3556, 6110, 14324,  -13, -47, 21
43, 19356,  -3562, 6157, 14328,  -12, -48, 12
44, 19492,  -3560, 6121, 14390,  -10, -46, 1
45, 19627,  -3596, 6047, 14398,  -8, -41, -5
46, 19762,  -3639, 6007, 14434,  -8, -39, -6
47, 19898,  -3642, 5992, 14539,  -6, -32, -7
48, 20033,  -3656, 6062, 14546,  3, -22, -7
49, 20169,  -3683, 6183, 14549,  9, -12, -7
50, 20304,  -3743, 6281, 14496,  6, -2, -8
51, 20439,  -3789, 6295, 14481,  0, -6, -8
52, 20575,  -3802, 6254, 14516,  -9, -13, -7
53, 20710,  -3852, 6181, 14562,  -10, -17, -5
54, 20846,  -3872, 6118, 14553,  -10, -22, -2
55, 20981,  -3862, 6083, 14574,  -5, -22, 1
56, 21117,  -3832, 6106, 14520,  -6, -13, 4
57, 21252,  -3827, 6099, 14549,  -12, -4, 13
58, 21387,  -3800, 6066, 14521,  -10, -2, 16
59, 21523,  -3786, 6003, 14506,  -1, -2, 14
60, 21658,  -3785, 6022, 14459,  5, 4, 10
61, 21794,  -3822, 6073, 14413,  5, 16, 1
62, 21929,  -3889, 6093, 14432,  1, 25, -7
63, 22065,  -3871, 6081, 14451,  -1, 28, -7
64, 22200,  -3841, 6157, 14450,  3, 24, -4
65, 22336,  -3833, 6216, 14424,  2, 14, -4
66, 22471,  -3860, 6183, 14451,  -4, 12, -9
67, 22606,  -3857, 6142, 14511,  -10, 2, -19
68, 22742,  -3880, 6110, 14578,  -14, -5, -26
69, 22877,  -3871, 6199, 14650,  -16, -12, -27
70, 23013,  -3871, 6216, 14701,  -11, -13, -25
71, 23148,  -3855, 6189, 14637,  -7, -10, -26
72, 23283,  -3870, 6171, 14645,  0, -7, -26
73, 23419,  -3844, 6101, 14516,  6, -9, -25
74, 23554,  -3788, 6147, 14502,  10, -21, -27
